0,1,2,3,4,5,6,7
NR2C2AP,BLM,CCNG1,PPP6C,RFC5,MMD,YWHAG,PARS2
PMEPA1,INPP5A,CEP128,HIST1H2AH,BCDIN3D,PTCRA,FAM32A,CTB-152G17.6
RASGRP2,TINF2,MARCH5,DIS3,TNFRSF9,C1orf50,TOP2B,SLC22A4
KLHL24,PITPNM1,GID8,SAMD1,MDP1,NRGN,NME3,RP11-219B17.1
SPRTN,EIF5,KIF3C,CXCR1,RBM7,CTC-428G20.6,IFI44,PRICKLE1
DOHH,TPM1,EVA1B,ZNF350,MPV17,MADD,EIF2AK4,RP11-1000B6.3
SMC2,RP11-544A12.4,ZNF747,WBP2NL,ADIPOR2,TREML1,MKKS,PNRC1
CPNE2,RP5-827C21.4,SNX17,SNX17,UBE3A,FYB,CTC-444N24.11,RP11-701P16.5
MPC2,RP11-1000B6.3,RP11-977G19.12,TRIM23,NDUFS1,SHARPIN,RP11-545I5.3,ATP8B3
NNT-AS1,SCN1B,SH3KBP1,RBM25,DIS3,SRP72,RFXANK,CXCR1
CISD1,LRRC24,DDX56,HSPB11,CCDC22,SLC22A4,TCEAL8,ZNF503
EOGT,UCK1,NME6,ZNF587B,MUM1,ACVR2A,CCL3,BIRC5
DCAF5,SREBF1,SMYD4,BGLAP,RPL7L1,C14orf80,PEX19,ZNF653
ZUFSP,ST3GAL2,N4BP2L1,ZNF799,SF3B1,CLEC2B,ANKHD1,CTD-2015H6.3
RFNG,C2orf76,PKN2,NOL7,KPNA1,LINC00984,JAKMIP1,AP4B1-AS1
SUV420H2,BHLHE40-AS1,NAA25,PAXIP1-AS1,IFI44,NFATC1,MYO1E,DNASE1L3
HDDC3,CCL4L1,NUPL2,DHX34,AGO4,THAP2,CRIP3,AP001462.6
BBS2,ATP8B3,ARL2,YTHDC1,BLZF1,MRP63,SLC6A6,DRAXIN
RMDN3,HMGXB4,THOC7,CEP68,EIF2B1,HOOK2,RDH14,RFPL2
ZCCHC10,TMEM102,BANP,EID2,TGOLN2,PKN2,TMEM62,HP
ATAD3C,CA2,EARS2,YPEL3,PTPRN2,FAAH,TMEM205,GIMAP4
PDE6B,ZFX,IQCH-AS1,CCDC66,NR2C2AP,SPG20,NEFH,CLEC4C
LRRC24,RNF187,SUV420H2,ZNF567,ZNF628,SMIM14,DNMT3A,AEBP1
INIP,TMEM251,GTF2B,SRPR,CXXC1,DPY19L4,LSM14A,SPATA7
GLS2,CTD-2012J19.3,RP11-647K16.1,B4GALT4,LIN52,RP1-315G1.3,HMBOX1,ATAD3C
CASC3,SELPLG,MRPS23,BRAT1,C2orf76,RELB,NFE2L2,CTD-2368P22.1
TMEM222,RAB21,AP4S1,KDM3B,CWC27,SNCA,STT3A,S100A9
HIST1H1B,AGPAT1,MRE11A,ATF7IP2,ORMDL2,PSMA1,RIOK2,MYO1E
AC068580.6,GMPPA,NCR1,CTC-428G20.6,PACS1,NFIC,VTI1A,CXCL3
EWSR1,UBE2Q1,DNAJA3,FBXO4,ZNF32,TMEM208,STAMBP,MT-CO1
TRIP12,DNAJA1,MED30,TARSL2,R3HDM1,PI4KB,AP4S1,SAMD12
ISOC1,SIVA1,NELFB,C17orf59,ABI2,SH3KBP1,DDX17,TPM2
DGKZ,SCIN,SAMM50,IFIT2,EVA1B,HMGXB4,USP36,WDFY3
CMTM7,BAG4,DYNLL2,CARHSP1,STRA13,ZFAND4,C16orf80,PLCL1
MED30,FYB,FCGR3A,PTGS1,DICER1,SPSB2,SURF1,RP11-385F7.1
KDM4A-AS1,SRSF6,RBL1-1,SMIM7,PLAGL2,SURF6,TPM2,RPH3A
NDUFB8-1,NRN1L,RP11-432I5.1,ATXN7L3B,CDC123,IRF8,STK11IP,WBP2NL
MUM1,TMEM62,ANAPC16,MCM10,MED9,TMEM62,AAR2,RP11-960L18.1
RP13-314C10.5,DHX34,TRIM16L,SYP,NELFB,CTD-2368P22.1,SCFD1,RP1-315G1.3
EXOC6,DPY19L4,AP003419.16,CD47,NOP58,C2orf88,TTC8,REPS2
MYCBP2,SHOC2,SPG7,ZNF628,AP4S1,IL1RAP,GZMB,RP11-950C14.3
GOLGB1,SETX,SAMD9L,IDO1,TMED4,GGA3,SLC12A4,VAMP8
ASB8,RP11-468E2.4,ZNF493,GTPBP2,C16orf52,ITPA,UBB,PROK2
GDF11,RP11-356N1.2,EWSR1,DRAXIN,SNW1,ERI3,KCNK6,TUBG2
RNF25,KIF3C,HBP1,IFT20,MADD,ARHGAP19,IDO1,FBXL14
NFE2L2,CTD-2368P22.1,LAMP2,GOT2,YWHAE,TMEM60,CCDC124,MRVI1-AS1
SARS,ABCG2,MOCS2,CHPF2,KIAA1429,RHBDD3,MVD,RP11-798G7.6
RP5-894A10.2,TACR2,CPQ,RCHY1,ZNF436,GBGT1,NEIL1,ACVR2A
ZRANB3,STRA13,RGS1,STAU2,NME3,NDUFS1,CTA-29F11.1,RP11-178G16.4
RBM26-AS1,TIMMDC1,SCIN,C1orf35,ELP6,CIDEB,F2R,AP003419.16
MGA,EID2,TANGO6,SLC48A1,DCAF5,AF213884.2,AC113189.5,TTC28
RNF26,IFT81,MRPS33,ZNF841,DNMT3A,CLDN5,PTGDS,TCL1B
WBP2NL,SLC35A1,RCE1,RP11-111M22.3,EXOSC8,STAU1,HIST1H1B,INSL3
NABP1,GMPR2,PLEKHB2,ANTXR2,ACTR6,TTN-AS1,DENND5B,7SK-2
VDAC3,RP11-196G11.2,PCGF1,VMAC,ARRDC3,ISG20L2,RP13-270P17.3,GNG3
PPIL2,IFFO1,INTS2,ZNF653,LRIG2,CDC16,SEC31A,CTB-113I20.2
ANKRD27,RPUSD4,KARS,MMD,NIT2,SLC50A1,MED30,CEP128
FBXL14,CTC-454I21.3,PITPNA-AS1,FAM63B,PGM1,PCNA,OSBPL1A,PTGDR2
RP3-325F22.5,ZNF330,PRKACB,RBM39,DNAJC10,ENHO,ELP5,S100P
ARHGAP11A,AF213884.2,AKR1C3,NDUFA10,SEC31A,ZNF467,NEMF,PSMB8
RIOK1,AC093642.3,MTERFD1,ZNF528,RP11-308N19.1,HEXIM2,PILRB,DISP1
UCK1,ATP10D,RP11-496I9.1,LYRM4,ANAPC16,ARHGAP18,REEP3,RP11-398C13.6
RHBDD3,SENP2,ATAD3C,ZNF682,TBPL1,DENND5A,AIM2,GDF11
RP11-727F15.9,SIRT6,LINC00174,PDK2,LYPLA1,NXT2,ARHGEF7,NEFH
SNX14,ARF6,S100A6,MTIF2,AGPAT1,DHX8,CECR5,PDIA3
NAPA-AS1,ACRBP,TPM1,RP11-532F6.3,MRPL19,REXO2,C3orf38,SRSF3
DUSP10,RAB8B,SH3BGRL2,MRS2,STAMBP,PLA2G4C,UBXN4,PUS7
SMYD4,FEM1A,NEFH,YEATS2,CTD-2302E22.4,PRRG2,DESI1,SERAC1
RNF14,LINC00886,CNEP1R1,SNTA1,ADAL,AP001189.4,PLCB2,LINC01013
CECR5,RP11-792A8.4,SERAC1,DTYMK,RAB12,PPP1R8,CPNE5,ATP5D
DDX56,COMMD4,RIT1,DOK3,DYNLT1,ESAM,QRICH1,SPIRE2
GOT2,ANKRD9,ACTL6A,ZNF195,RNF113A,CLIP1,C19orf52,LILRA4
MOB2,WDR45,DPH6,TTC8,ZFYVE28,VAMP8,DYNLL2,OSBPL1A
KIAA1429,CRLS1,GGNBP2,NSMAF,TPM4,LIN52,GRSF1,LZTS2
TLR3,EIF1B,PPP2CA,PITPNA-AS1,NEUROD2,ZSWIM6,MPP1,CXCL10
SOX13,FBXL14,TBC1D15,PPP2CA,SETX,CCDC22,ARHGAP18,TNFRSF9
BGLAP,YEATS2,UIMC1,BAG4,NONO,PTGS1,TMEM251,CCL2
ARPP19,IL4I1,ANKRD27,PPT2-EGFL8,CHERP,PRUNE,SAMD4B,RP11-145M9.4
RBM25,NME3,EHMT2,RAB11B,ATAD3C,CDC40,TRPV2,RP1-111C20.4
RP11-798G7.6,hsa-mir-1199,CLYBL,ST20,DIDO1,HSP90AA1,FNTA,PRRG4
CCDC174,WDR91,LIPC,RHEBL1,SKAP2,LRIG2,PHF3,RP3-325F22.5
YEATS2,CHPF2,NBR1,BMPR2,TNFRSF1B,QRICH1,UBE2E1,PRELID2
LBR,SH3BP1,RPL22L1,FEM1A,COMMD10,DENND6A,NUP54,RP4-800J21.3
RWDD4,RP11-488C13.5,RFNG,TTPAL,STK32C,FAM212A,PF4,FMO4
PDZD4,GID8,YTHDF2,LTV1,TMEM87B,C17orf62,SELL,PALLD
OMG,ZNF436,MKLN1,PIGU,CTD-2012J19.3,DERL1,ST3GAL2,AF213884.2
SETD5,KIAA1429,RP5-821D11.7,SPG7,C1orf50,EMG1,TPD52L2,ZNF404
RP11-432I5.1,KCNH3,SPIRE2,SLC25A14,PPIL2,MLEC,ACOT13,LAMP3
SLC25A14,ELP5,RABIF,CD9,BBS2,CNEP1R1,LRBA,ANKRD22
NIPSNAP3B,DNAJC15,NEMF,WDYHV1,SLC25A14,IP6K1,AKAP8,ACPP
AAR2,F11R,PDXDC1,POLDIP2,WARS2,NPRL2,MLX,TMTC2
ACD,CRTC2,AK4,C16orf80,CTD-2541M15.1,KLHL6,TREML2,LYSMD4
NMNAT3,TBCB,GPS1,NOP58,RBM4,ARSG,STX16,RP5-894A10.2
SMTN,RP13-753N3.1,IP6K1,RP11-378J18.3,LIPC,KCNK6,FBXO4,SLC39A14
BLZF1,PLA2G4C,ZNF799,CPSF3L,URGCP,AC147651.3,MBNL1-AS1,FZD3
SYCE1,SLC25A14,TCP1,ELL,UBE2D3,UTP6,F11R,SLC22A18AS
RAD51B,LINC00957,TCEAL4,AAR2,PHF14,ABHD12,U2SURP,RP11-5C23.1
RP11-111M22.3,ST7L,CHI3L2,NONO,RABL6,TMEM234,GAS2L1,TRAPPC12-AS1
SETD1B,RP11-294J22.6,TMEM177,C3orf38,TIMM17A,TAOK3,SH3BP1,SLC16A5
MKKS,CLNS1A,NKAP,DCAF8,RP11-139H15.1,FBXO4,UBXN1,EARS2
LRRIQ3,GOSR2,C1GALT1C1,U73166.2,FNTA,MLLT11,RASD1,DENND5B
ZFX,GYS1,PPP2R3C,ADPRM,PI4KB,SHOC2,FANCI,IL24
MRPL19,SYP,DDB2,TRIT1,GTF2B,MEG3,EOGT,IQCE
ABT1,TTN-AS1,ARG2,CCDC115,TTC30A,LDOC1L,PGRMC2,IQCH-AS1
SPEN,BCL2A1,CTC-444N24.11,SIRT6,PPP2R1B,RP11-398C13.6,ARL2,KCNE1
CYB5B,RP11-805J14.5,ABCB1,CGRRF1,GIMAP4,LINC01003,LYSMD4,RP11-162G10.5
AP001462.6,POLA1,TTPAL,HMBOX1,C15orf26,FBXO7,SNX20,URB2
HNRNPM,RP11-252A24.3,ZCCHC9,FASTKD1,RAD51B,ADSL,MFSD1,FCAR
ZNF615,TBC1D23,LONRF1,RP5-827C21.4,F11R,BET1,PPIE,SLC12A4
PEX26,ST20,ARIH2OS,ST3GAL2,UQCC1,RP1-111C20.4,YIPF5,FCGR3B
CRTC2,TLR3,SNHG12,ATP5SL,GIMAP2,USP20,CORO7,RP11-532F6.3
SNRNP35,RBCK1,PGM2L1,ABI2,COQ7,WDR44,RER1,ZNF256
S100B,NT5M,RPA4,ARIH2OS,DMPK,DAGLB,MAPK1IP1L,PRRG2
GLRX3,CCDC62,ANAPC4,SIK1,LDOC1L,SLC22A18AS,GNPAT,ZNF175
CHERP,SAMD4B,EIF5,MAT2A,TRUB2,RP11-87C12.2,GYS1,C16orf52
PLIN5,OSBPL1A,ZNF276,ZNF330,SRA1,NIT1,RFC1,TRPM4
RP11-400F19.6,GYG1,PPIL2,SUV420H2,HIST1H2AC,CCDC69,MRS2,SARDH
ARGLU1,INTS2,TMX2,FAM173A,RP11-252A24.3,CRTC2,BBX,AIF1
CRTC1,TOP2B,QSOX1,ANAPC4,RHBDD3,ALDH2,ADAM10,RBM26-AS1
MAEA,RP11-215G15.5,SRSF6,SLC39A14,FAAH,THUMPD3,H3F3B,INTS2
SMARCD1,TMEM80,CTC-454I21.3,SEC31A,OBSCN,SPOCD1,SETD5,SYCE1
C16orf13,ZNF433,HPRT1,MUM1,RFNG,DUSP10,PEX26,LINC00342
LDOC1L,ATXN1L,PGRMC2,EAPP,DHX9,MED7,CHERP,GSTP1
CTD-2012K14.7,U73166.2,WARS2,CDC16,PMF1,HLA-DMA,CA2,AC074138.3
PGRMC2,TTC8,ZNF212,COMMD10,CAPZA2,ZNF688,DMAP1,PMEPA1
PRPF8,NDUFB8-1,ZNF559,CCDC94,OARD1,SLC12A4,BNIP2,NMNAT3
YTHDC1,RP5-894A10.2,CCDC3,LINC01003,DCAF8,RBPJ,GLB1,USP30
NR2C1,RPS19BP1,ST20,ARL2BP,PRDX4,TMEM50A,CTNNBL1,ZRANB3
AGPAT1,EXOC6,IL27RA,CTD-2368P22.1,IL32,ST7L,ANAPC13,TNK1
PEX19,R3HDM2,SLFN5,SNW1,MAPK1IP1L,CEPT1,SLC35A2,SPTSSB
CTC-454I21.3,TTC28,TMEM104,DPY30,TRIM14,C10orf25,CDKN2A,INVS
DIS3,C1orf50,CCND2,SDAD1,RP11-141B14.1,RBM5,TMBIM4-1,IL1RAP
ZNF425,DRAXIN,LAMP3,LRRC59,SMYD4,SENCR,HMGCL,TREML2
GPKOW,SETD5,CCDC174,PCSK7,CDC40,SMDT1,PI4KB,FANCI
PSMA1,GOT2,ATP5SL,ZNF561,C4orf3,ANAPC4,DDX1,IDUA
TSSC1,GFER,ADIPOR2,FBXO7,TTC1,TRIM16L,C15orf61,ARRDC4
EGFL7,ARHGAP24,GIT2,GYS1,RP11-493L12.4,SIRT6,STUB1,HSP90AA1
RAB12,ECHS1,KDM4A-AS1,NAA25,LTV1,PACSIN2,CDC40,ZNF121
DRAXIN,SNX17,ZNF836,DCP2,USP8,KCTD10,TMEM138,PDZD4
RP11-468E2.4,ARHGEF7,LAIR1,EWSR1,ANKS1B,IDI1,BLCAP,C1QB
PIGF,XPNPEP1,HNRNPH3,GID8,NUPL2,RPS19BP1,MRPL19,PDIA5
TRAPPC12-AS1,CDC16,BCL2A1,PHACTR4,MT-CO2,PRR5L,FEM1B,IGFBP4
IP6K1,BANP,JAGN1,ACTL6A,DRAXIN,TMEM242,CLEC2B,ZNF45
TMEM87B,ILF3,DIS3,VPS13C,MMP9,C16orf13,DIDO1,KIAA0101
U73166.2,RCE1,C7orf26,ZNF32,DUSP10,LCN2,ATF7IP2,LYPD2
SYP,RP11-977G19.12,ETHE1,DNM3,ZNF836,TMTC2,PXMP4,EID2
AC010894.5,BMPR2,AURKC,TBC1D23,TMEM234,SERPINE1,IFITM3,SPATA6
STAMBP,SNRNP35,FLOT1,VAPA,PARP1,TMEM40,FBXO33,AL590452.1
GINM1,CD274,EOGT,HIST1H2BJ,ARGLU1,ZNF425,PRPS2,ZNF799
STAU2,ADNP,ARMC7,TM7SF3,SMARCD1,CDC123,MKLN1,F5
SLC20A2,C14orf80,LYRM2,CTC-444N24.11,ETHE1,MAP1A,CCDC12,AL928768.3
ZNF688,TAOK3,TIMM10B,ERCC6L2,LINC00494,GATA2,RNF113A,EOGT
MAPK1IP1L,TAF10,C1orf186,THBS1,WDR44,AKAP8,LARS,AC005082.12
KLHL6,C10orf32,RFC1,IL16,ABCG2,ISOC1,SEPT11,FLJ27365
PGM2,HIST1H4I,INPP5A,HP,MGA,SDAD1,TMEM9B,ZSWIM6
GYS1,QRICH1,AL590452.1,PTGES2,NKIRAS2,ATXN7L3B,INIP,ZNF718
EXOC4,ZNF212,RPPH1,RP11-385F7.1,GPATCH4,PDIA3,COMMD10,SAMD1
EAPP,TDRP,KRBOX4,GOLGA1,CASC7,LGALSL,IRF9,MYOM2
PWP1,FH,MPP6,TAOK2,HEMK1,GTF2B,CTBP2,NCR1
RBM5,SMIM7,SPPL2A,ZNF836,OSBPL7,TMEM14B,PRMT2,RASD1
ZNF195,RMND5A,RP11-932O9.7,TCEAL4,C4orf33,ANKRD22,SLC27A1,FRY-AS1
RUNDC1,LNP1,CYTH2,PEX16,RP1-315G1.3,HIST1H4I,IER3,TSPAN33
FBXO4,PXMP4,C18orf21,CCNG1,NCOA4,PNPLA8,DDI2,SPRY1
SIRT1,CUL4B,CTNNBL1,EHMT2,RIT1,GOLGA1,STX4,WDR44
DEDD,CPNE5,PEX26,SF3B1,C9orf69,COMMD4,TNNI2,TMEM177
RP11-950C14.3,WARS2,CD48,SLC4A7,MYL9,SLC19A1,ZYX,RP11-430B1.2
RP11-66N24.3,RFNG,MPHOSPH10,FBXO25,BGLAP,CTD-2537I9.12,RPL39L,IL4I1
SNX20,C16orf52,NEUROD2,MMADHC,POLDIP2,IFI27,EVA1B,RP4-612B15.3
DLST,CTNNBL1,GPATCH4,SLC19A1,YWHAB,CARS,MARC1,LONRF1
GRPEL1,YPEL3,RP13-753N3.1,KLF11,RP11-390B4.5,DPY30,ADIPOR2,CES4A
UBXN1,BEND2,REXO2,EIF2S1,ATP6V0E2,GLYCTK,TMEM14B,CTNND1
TMEM18,C9orf69,SLC4A7,TMEM87A,TADA2A,HIST1H2BJ,AGPAT1,EBF1
COMMD8,DIAPH1,GOT2,MAP2K7,SNX3,SNRNP27,RNF139,ZNF682
CTC-444N24.6,FANCI,EBF1,RAD51B,COLGALT1,RP13-314C10.5,CHD7,LSM14B
SIAH2,SETD1B,TTC1,SLC20A2,KRBOX4,ELOVL3,ACRBP,PLAGL1
INTS12,NCOA4,IRF9,RP11-178G16.4,SLC20A2,IFT81,IL17RA,RP11-66N24.3
ASXL2,RP13-270P17.1,AQP3,IL4I1,GRSF1,SPEN,C1GALT1C1,SERPINF1
HBP1,TYW5,ATP5A1,AL590452.1,LRBA,PRICKLE1,LUC7L,OBSCN
RP11-141B14.1,NKAP,RBM26-AS1,PICALM,ARHGAP19,ALKBH4,PICALM,EVA1B
SDAD1,RNF25,SLC20A2,RP11-349A22.5,NT5M,FADS1,NRGN,ZNF232
DSCR3,ZNF350,RP11-408A13.4,TRIP11,PYGO2,WDFY3,GALT,ELOVL4
AURKC,AC137932.6,TMEM140,FBXW4,ARL16,CASC3,HLA-DOB,RP11-488C13.5
MT-CYB,ASXL2,GRPEL1,C17orf62,RABL2B,GARS,NFKBIL1,GYS1
ALG5,RP11-359I18.5,LILRA4,MNAT1,FOPNL,NDUFB8-1,SEC14L5,MACROD2
SMARCC2,ARHGDIA,PBLD,CNEP1R1,FASTKD1,CRLS1,CTD-2006K23.1,LDOC1L
ARIH2OS,OTUB1,UBXN4,SPEN,TANGO6,PEX26,AL928742.12,CTSS
UNC45A,ATP6V1D,ANKRD9,SNX14,SPEN,PDCD2L,RAB21,KIR2DL3
RP11-532F6.3,ANAPC13,TTC14,LGALSL,TAOK2,C18orf21,SHARPIN,MRM1
ZBTB10,ZNF263,ZNF404,TCP1,KIF3C,VIL1,RAB8B,ANKAR
SNTA1,LYPLA1,RBCK1,AF213884.2,DYNLL2,TMX2,PGM1,KCNG1
RPUSD3,DTYMK,SLC2A13,MLEC,PHF12,EID2,FRAT1,SLC48A1
THAP2,CTB-113I20.2,WDR55,ADIPOR2,RP4-612B15.3,TYW5,MAGEH1,FLJ00104
SAMD1,CWC15,ALOX12,TNK1,RABL2A,HRASLS,TAF6L,RP11-164H13.1
SNRNP27,KIF5B,URGCP,DDT,TMEM177,SND1,RGL2,TNFRSF17
FZD3,CD1C,TMPRSS11E,DNAJC7,PNPLA8,SEC14L5,RABL6,RPPH1
NDUFS1,CDC37,PACS1,PLEKHA3,RP1-28O10.1,TANGO6,CCDC62,HBA1
RBBP6,BGLAP,IFI27,FN3KRP,RFXANK,TDRP,CLECL1,CEACAM4
TAL1,HELQ,PLEKHJ1,TBPL1,STX18,AC004069.2,TTN-AS1,SIRT1
ELP6,PRRG2,CARS,DDX56,PDCD2L,RBM4,MED7,BLM
PIGL,TRIM14,TMX3,NSA2,ERI3,PIK3R1,TLR3,TGFBRAP1
PIGX,GOLGB1,RP11-493L12.4,WDR45,U2SURP,SMARCD1,C7orf26,MARC1
CTNNB1,LINC00959,ACAT2,C10orf32,FLJ00104,SMIM5,QSOX1,NAPA-AS1
AKAP8,FEM1B,ACADVL,CTNNB1,PIGL,NT5C3A,RP4-773N10.4,IL6
LNP1,RP1-315G1.3,MRPL1,CXCL10,EXOC6,AC137932.6,TSPAN15,HLA-DRB1
YPEL2,STAU1,C16orf80,MAP3K7,TPD52L2,RNF168,ACVR2B,TRIM23
ATG16L1,ACADVL,LINC00957,HMGXB4,SPSB2,PPIL2,KIAA1429,ENHO
VPS13C,TUBG2,POLA1,LARS,AF213884.2,RP1-266L20.2,WHAMM,DPY19L4
PBLD,RP11-178G16.4,DTX3,LSM14A,ILF3,PPP2CA,C1orf50,CDKN2A
ZNF493,ACVR2A,LARS,ASXL2,SPIRE2,WIBG,DNAJC10,DTX3
SREBF1,ADIPOR2,MRPS12,PGM2L1,MIS18BP1,OTOF,YIPF3,SLC2A13
MIS18A,CRTC1,ZUFSP,ECHS1,TOR1A,SMCHD1,RP11-544A12.4,FAM120C
ZNF333,FAM96A,RP11-545I5.3,GSTZ1,ARHGAP11A,SEC31A,RAD51B,FASTKD1
LMF2,GINM1,RIN2,MRM1,INSL3,RHEBL1,MNAT1,ZNF212
NUDT5,RP11-960L18.1,PAXIP1-AS1,CEP85L,SETD5,RP11-532F6.3,ZNF232,PDCD1
BET1,C9orf3,IPO9-AS1,RP11-468E2.4,NDUFA2,ASAP2,MPP6,CCL4L1
IFFO1,CLEC1B,GTPBP6,MVD,BLM,RP11-294J22.6,BANP,RP11-87C12.2
LIX1L,FAM120C,RBM48,C18orf21,RNF7,GGA2,SMIM14,RP11-706O15.1
PDCD2L,RP11-162G10.5,TRIP12,ATAD1,PBRM1,ZNF350,TMX2,LIN52
ATXN3,ZMAT5,RAB11B,PGM2,NAPA-AS1,PIGU,MRPL43,CPNE5
DPH6,NEK8,ARPP19,GTF2B,SUV420H2,TUBB1,SIN3A,PAWR
FMO4,BNIP2,EIF5B,ADAL,FZD3,SLC25A12,CHD2,NEK8
ZNF628,ADAM10,SDAD1,TTC1,C5orf15,RPL22L1,FN3KRP,ALDH1A1
TBPL1,NOC4L,HDDC3,YPEL2,ECHS1,CLIP2,B4GALT4,TTN-AS1
TCF12,NEFH,STAU1,GLB1,MRPS18A,JUND,UIMC1,RP11-70P17.1
DDX17,GRPEL1,C1QC,FEM1B,SH3BGRL2,NUDT5,CLDN5,RP11-102N12.3
SRPR,PGM1,CRIP3,ZNF559,PIGX,RBBP6,BRWD1,LGALS1
METTL8,ERI3,TMEM102,RGS1,FAM32A,C1GALT1C1,ORMDL2,KLC4
SLC48A1,MRVI1-AS1,PLA2G4C,TOR1A,ZCCHC11,POLA1,ZNF593,NECAB3
CES4A,SNX20,IQCE,HMGCL,ATF7IP2,UBAP2,RP11-10K16.1,ABCC10
N4BP2L1,BBC3,C5AR2,EMG1,TMEM102,PGM2,CHIC2,TADA2A
ANAPC4,MRPS12,CTD-2302E22.4,RFC5,KIFC3,CGRRF1,DNAJA3,PDIK1L
FEM1B,C5orf15,DHX9,COPS4,SIRT1,SRSF6,RP11-879F14.2,ARSD
CIAPIN1,FLJ27365,IL24,YTHDF2,NFKBIL1,MTERFD1,PRPF8,COL6A2
WDR44,ADSL,USP20,TMEM9B,GARS,TRPV2,RPUSD4,RP11-554J4.1
PEX16,BAZ2A,WBP2NL,KLHL6,CHPF2,RP11-701P16.5,PNPLA8,DHX34
CD274,KDM3B,TYW5,SETD5,DNASE1L3,TNS1,MGMT,HLA-DPB1
ARID4A,YWHAB,RP13-270P17.3,EXOC6,LINC00886,C16orf58,SLC35A1,C8orf44
COMMD10,FAM210B,RAB2A,PYGO2,PLEKHA3,INPP5A,ZNF747,SLC19A1
CCDC94,RPA4,EMG1,KIAA0101,ERCC6L2,HCFC2,GADD45B,GBGT1
PCSK7,MTIF2,PPP1R2,SNX20,CKS1B,C1orf198,WARS2,ZNF528
IRF9,RFC2,RAD51B,FKBP3,PLRG1,RIN2,IGFBP7,S100A6
MED7,CTD-2302E22.4,ASB8,IFFO1,CSRP1,ACADVL,PUM1,AP4S1
DDX1,POLR3K,U73166.2,TMEM177,ACTL6A,PEMT,CXCL2,NOG
IRAK4,AC074138.3,PARS2,NKIRAS2,TMEM222,IPO9-AS1,CMTM7,WDR91
HMGCL,AC010894.5,ATF7IP2,NARG2,VMAC,CMTM5,ASAP2,AGO4
PHF5A,PRKCB,SAAL1,WDR91,DHRS4,RPUSD4,PHF14,HCFC2
C1orf35,RP11-5C23.1,WDYHV1,TTN-AS1,MRS2,SLC35A1,SMARCA4,LRIG2
UBE2D4,CDK16,XPNPEP1,SND1,DISP1,ATP9A,RP11-1000B6.3,ABCB1
ARSG,NIPSNAP3B,NDUFS1,CHMP4A,RCE1,INTS2,FAM127A,PCDH9
PRKAR2B,TADA2A,NME3,SURF6,RP11-727F15.9,SENP2,SLC22A4,RPS3A
PBRM1,ATP5SL,PPA2,SIN3A,EHMT2,CELF1,CTD-2012K14.7,TMEM62
OSBPL1A,JAZF1,API5,CBX5,PRDX3,ADIPOR2,MYH10,SLC27A1
SAMD14,SIN3A,PLCL1,C16orf58,DDX56,PDK2,GRPEL1,ATP10D
SRSF6,PBLD,CRTC2,PKN2,IQCH-AS1,FANCI,GPR84,BAG4
RARS,TLE4,C14orf166,OAT,ISCA2,S100P,RP11-110I1.14,PLD6
SLC25A12,USP30,TMEM18,XRRA1,SERAC1,TBC1D23,PIGU,PPP2R1B
HIST1H2AH,AKAP8,ATP6V0E1,SARDH,MED30,TMEM18,TMEM80,TNRC18
MTERFD1,AAGAB,ABRACL,JARID2,C3orf38,ZRANB3,SNAP47,SELL
SLC39A14,PLD4,OARD1,RPS6KL1,SLC4A7,MYO1E,C5orf15,ZNF628
POLDIP2,THUMPD3,STK11IP,CLSTN3,UQCRC1,DCAF8,ACBD3,ZNF747
CTC-260E6.6,SRSF3,PITHD1,NECAB3,LINC00662,DHX34,TYW5,RP11-428G5.5
TCTA,TPM2,SELPLG,MRPL42,PHACTR4,RP13-753N3.1,ZNF436,PRR5L
CTD-2302E22.4,RAB2A,HELQ,C19orf33,TSSC1,TMEM140,COQ7,ADNP
RNF168,STT3A,KIF5B,PITHD1,DDB2,NARS,TFAM,TKTL1
NCKAP1,HEMK1,CTD-2537I9.12,USP7,ISOC1,ISY1,SURF6,PTGDS
NPRL2,ARHGAP19,FAM96B,ZFX,CARS,SYP,SCGB1C1,CTC-444N24.11
KIF3C,SNRNP27,CHPF2,TEX2,ZNF841,SETX,GOLGA1,MTRF1
ZBED5-AS1,MRE11A,UBE2C,TRIP12,ZC3H15,UQCC1,EDC3,WARS2
RP11-77H9.2,AIM2,ARSG,ISCA2,UIMC1,HMBOX1,EMG1,GPR35
CYTH2,ANTXR2,NPHP3,PLEKHJ1,SAMD4B,MAEA,SIVA1,FAM98A
POLR2K,BRWD1,FKBP3,MDS2,NPHP3,BAG4,ECHS1,KCTD10
ELOF1,KLC4,TRIM23,AGA,GFER,MTIF2,LINC00936,BACE2
SPIN1,BLCAP,RP11-162G10.5,FZD3,ZNF404,SMYD4,ARSD,RAD51B
KPNA1,PPIL4,NONO,MGA,ATP5A1,TAPBP,PRKAR2B,ARMCX5
LUC7L3,ARL2,IER3,RMND5A,CCDC94,TMEM251,RP11-1055B8.7,OSBPL7
TMEM242,CYTH2,TSC22D1,DAGLB,TMTC2,MFSD10,TAOK2,TRIT1
KLC4,DDX17,RPS5,MRPL43,TRAPPC12-AS1,RPUSD3,MMP9,MPP6
RP11-408A13.4,BRAT1,TRIM14,ACP1,DNAJC2,MRPL42,GMPPA,RHBDD3
